asset_id,type,topic,engagement_score
M5404,Image,Offer,0.87
M5405,Image,Event,0.8
M5406,Audio,Offer,0.63
M5407,Video,Offer,0.95
M5408,Image,Event,0.09
M5409,Image,Network,0.39
M5410,Image,Offer,0.6
M5411,Image,Network,0.02
M5412,Image,Event,0.56
M5413,Video,Event,0.36
M5414,Audio,Customer Service,0.85
M5415,Audio,Customer Service,0.59
M5416,Image,Event,0.69
M5417,Audio,Event,0.46
M5418,Audio,Customer Service,0.38
M5419,Image,Event,0.73
M5420,Video,Event,0.5
M5421,Audio,Network,0.31
M5422,Audio,Customer Service,0.07
M5423,Image,Offer,0.11
M5424,Video,Event,0.48
M5425,Image,Offer,0.49
M5426,Image,Offer,0.24
M5427,Image,Offer,0.66
M5428,Image,Customer Service,0.23
M5429,Audio,Customer Service,0.74
M5430,Audio,Network,0.82
M5431,Audio,Customer Service,0.57
M5432,Image,Network,0.44
M5433,Audio,Event,0.77
M5434,Video,Event,0.9
M5435,Video,Network,0.86
M5436,Image,Network,0.29
M5437,Audio,Network,0.48
M5438,Video,Event,0.85
M5439,Audio,Offer,0.65
M5440,Audio,Network,0.78
M5441,Video,Offer,0.78
M5442,Image,Customer Service,0.0
M5443,Audio,Network,0.77
M5444,Image,Offer,0.51
M5445,Image,Offer,0.64
M5446,Image,Customer Service,0.56
M5447,Image,Offer,0.4
M5448,Audio,Offer,0.3
M5449,Audio,Event,0.52
M5450,Audio,Customer Service,0.38
M5451,Audio,Offer,0.98
M5452,Image,Offer,0.55
M5453,Video,Network,0.52
M5454,Video,Offer,0.64
M5455,Video,Customer Service,0.76
M5456,Audio,Network,0.92
M5457,Video,Event,0.9
M5458,Video,Event,0.04
M5459,Image,Offer,0.71
M5460,Audio,Event,0.43
M5461,Audio,Network,1.0
M5462,Video,Customer Service,0.59
M5463,Video,Customer Service,0.94
M5464,Image,Customer Service,0.48
M5465,Video,Customer Service,0.5
M5466,Image,Network,0.91
M5467,Video,Offer,0.75
M5468,Image,Event,0.3
M5469,Image,Event,0.41
M5470,Video,Event,0.27
M5471,Audio,Customer Service,0.43
M5472,Image,Customer Service,0.39
M5473,Image,Event,0.79
M5474,Video,Network,0.08
M5475,Image,Offer,0.61
M5476,Audio,Event,0.69
M5477,Video,Network,0.65
M5478,Image,Network,0.78
M5479,Video,Network,0.72
M5480,Image,Event,0.17
M5481,Audio,Event,0.33
M5482,Audio,Offer,0.2
M5483,Audio,Network,0.2
M5484,Image,Customer Service,0.99
M5485,Image,Customer Service,0.95
M5486,Audio,Network,0.0
M5487,Audio,Event,0.64
M5488,Audio,Offer,0.15
M5489,Image,Customer Service,0.11
M5490,Image,Network,0.14
M5491,Audio,Network,0.89
M5492,Image,Customer Service,0.51
M5493,Audio,Network,0.29
M5494,Video,Customer Service,0.62
M5495,Audio,Event,0.07
M5496,Audio,Customer Service,0.31
M5497,Audio,Event,0.93
M5498,Audio,Event,0.54
M5499,Image,Offer,0.2
M5500,Image,Customer Service,0.47
M5501,Image,Network,0.08
M5502,Image,Event,0.08
M5503,Video,Network,0.83
M5504,Video,Offer,0.76
M5505,Image,Network,0.34
M5506,Audio,Network,0.71
M5507,Image,Network,0.43
M5508,Video,Offer,0.56
M5509,Audio,Network,0.69
M5510,Audio,Offer,0.41
M5511,Video,Network,0.79
M5512,Audio,Offer,0.44
M5513,Video,Offer,0.42
M5514,Video,Offer,0.92
M5515,Image,Network,0.49
M5516,Audio,Customer Service,0.68
M5517,Audio,Offer,0.85
M5518,Audio,Network,0.98
M5519,Image,Event,0.75
M5520,Video,Customer Service,0.7
M5521,Video,Offer,0.49
M5522,Image,Customer Service,0.44
M5523,Image,Customer Service,0.63
M5524,Image,Customer Service,0.09
M5525,Image,Event,0.66
M5526,Video,Customer Service,0.56
M5527,Video,Offer,0.95
M5528,Video,Network,0.28
M5529,Audio,Network,0.44
M5530,Image,Customer Service,0.3
M5531,Audio,Network,0.53
M5532,Video,Customer Service,0.04
M5533,Video,Network,0.24
M5534,Audio,Offer,0.63
M5535,Image,Network,0.02
M5536,Video,Event,0.28
M5537,Video,Customer Service,0.37
M5538,Audio,Customer Service,0.66
M5539,Video,Event,0.74
M5540,Image,Network,0.64
M5541,Image,Event,0.57
M5542,Audio,Network,0.69
M5543,Video,Event,0.74
M5544,Image,Network,0.33
M5545,Image,Offer,0.84
M5546,Audio,Customer Service,0.06
M5547,Image,Network,0.66
M5548,Image,Offer,0.47
M5549,Video,Customer Service,0.76
M5550,Image,Event,0.54
M5551,Video,Network,0.17
M5552,Video,Offer,0.26
M5553,Video,Network,0.69
M5554,Video,Event,0.36
M5555,Image,Network,0.72
M5556,Video,Customer Service,0.88
M5557,Audio,Customer Service,0.89
M5558,Image,Event,0.56
M5559,Audio,Network,0.3
M5560,Video,Event,0.23
M5561,Audio,Network,0.15
M5562,Image,Customer Service,0.3
M5563,Audio,Event,0.81
M5564,Image,Network,0.56
M5565,Video,Event,0.21
M5566,Video,Customer Service,0.3
M5567,Audio,Event,0.59
M5568,Audio,Offer,0.78
M5569,Image,Event,0.91
M5570,Audio,Customer Service,0.94
M5571,Image,Offer,0.26
M5572,Video,Customer Service,0.28
M5573,Audio,Network,0.9
M5574,Video,Network,0.82
M5575,Audio,Event,0.74
M5576,Audio,Event,0.97
M5577,Image,Offer,0.3
M5578,Audio,Network,0.24
M5579,Image,Offer,0.96
M5580,Video,Network,0.51
M5581,Video,Network,0.6
M5582,Video,Network,0.19
M5583,Video,Offer,0.92
M5584,Image,Customer Service,0.32
M5585,Audio,Event,0.56
M5586,Audio,Customer Service,0.66
M5587,Image,Offer,0.23
M5588,Audio,Event,0.25
M5589,Audio,Event,0.12
M5590,Image,Event,0.73
M5591,Video,Offer,0.2
M5592,Video,Event,0.14
M5593,Image,Event,0.79
M5594,Video,Network,0.67
M5595,Video,Customer Service,0.94
M5596,Audio,Network,0.85
M5597,Audio,Network,0.93
M5598,Video,Network,0.21
M5599,Video,Customer Service,0.86
M5600,Audio,Network,0.92
M5601,Video,Customer Service,0.18
M5602,Audio,Offer,0.23
M5603,Audio,Offer,0.81
M5604,Audio,Network,0.93
M5605,Image,Network,0.07
M5606,Video,Event,0.98
M5607,Image,Network,0.79
M5608,Audio,Event,0.19
M5609,Audio,Network,0.25
M5610,Video,Customer Service,0.8
M5611,Image,Customer Service,0.99
M5612,Image,Customer Service,0.9
M5613,Video,Network,0.92
M5614,Video,Network,0.42
M5615,Video,Customer Service,0.56
M5616,Video,Customer Service,0.45
M5617,Video,Customer Service,0.15
M5618,Video,Offer,0.51
M5619,Image,Customer Service,0.34
M5620,Image,Event,0.53
M5621,Image,Customer Service,0.4
M5622,Audio,Event,0.01
M5623,Audio,Offer,0.36
M5624,Image,Network,0.35
M5625,Video,Network,0.58
M5626,Audio,Network,0.75
M5627,Video,Network,0.59
M5628,Image,Customer Service,0.79
M5629,Audio,Network,0.92
M5630,Image,Offer,0.09
M5631,Video,Network,0.57
M5632,Video,Offer,0.34
M5633,Audio,Customer Service,0.69
M5634,Image,Customer Service,0.12
M5635,Audio,Network,0.19
M5636,Audio,Offer,1.0
M5637,Image,Customer Service,0.6
M5638,Video,Network,0.73
M5639,Audio,Customer Service,0.59
M5640,Video,Network,0.51
M5641,Audio,Network,0.31
M5642,Audio,Customer Service,0.75
M5643,Audio,Event,0.3
M5644,Video,Network,0.56
M5645,Audio,Customer Service,0.27
M5646,Image,Event,0.55
M5647,Audio,Event,0.07
M5648,Audio,Offer,0.41
M5649,Image,Network,0.9
M5650,Audio,Offer,0.23
M5651,Video,Offer,0.43
M5652,Image,Network,0.79
M5653,Image,Customer Service,0.98
M5654,Video,Offer,0.5
M5655,Video,Offer,0.96
M5656,Video,Event,0.91
M5657,Audio,Event,0.31
M5658,Video,Offer,0.04
M5659,Audio,Network,0.08
M5660,Audio,Network,0.11
M5661,Image,Event,0.31
M5662,Audio,Offer,0.11
M5663,Audio,Customer Service,0.29
M5664,Audio,Event,0.17
M5665,Video,Network,0.68
M5666,Audio,Event,0.18
M5667,Video,Offer,0.44
M5668,Image,Offer,0.98
M5669,Video,Customer Service,0.13
M5670,Audio,Event,0.19
M5671,Audio,Event,0.0
M5672,Image,Network,0.94
M5673,Image,Network,0.03
M5674,Video,Customer Service,0.11
M5675,Audio,Customer Service,0.17
M5676,Audio,Event,0.94
M5677,Image,Network,0.83
M5678,Audio,Offer,0.42
M5679,Audio,Offer,0.67
M5680,Audio,Network,0.11
M5681,Image,Event,0.41
M5682,Video,Customer Service,0.76
M5683,Image,Event,0.93
M5684,Audio,Network,0.28
M5685,Audio,Network,0.27
M5686,Audio,Customer Service,0.7
M5687,Audio,Event,0.79
M5688,Audio,Customer Service,0.69
M5689,Audio,Offer,0.82
M5690,Video,Event,0.57
M5691,Image,Offer,0.04
M5692,Audio,Event,0.81
M5693,Image,Customer Service,0.77
M5694,Audio,Offer,0.78
M5695,Audio,Customer Service,0.67
M5696,Video,Customer Service,0.63
M5697,Video,Event,0.47
M5698,Image,Customer Service,0.56
M5699,Video,Event,0.25
M5700,Audio,Event,0.17
M5701,Video,Offer,0.72
M5702,Audio,Offer,0.59
M5703,Audio,Offer,0.77
M5704,Image,Offer,0.59
M5705,Video,Offer,0.43
M5706,Audio,Customer Service,0.11
M5707,Video,Customer Service,0.8
M5708,Image,Offer,0.63
M5709,Audio,Customer Service,0.89
M5710,Video,Network,0.49
M5711,Video,Offer,0.8
M5712,Audio,Customer Service,0.77
M5713,Audio,Offer,0.25
M5714,Image,Offer,0.29
M5715,Video,Network,0.54
M5716,Video,Customer Service,0.44
M5717,Video,Network,0.73
M5718,Image,Event,0.58
M5719,Video,Offer,0.51
M5720,Audio,Event,0.52
M5721,Video,Offer,0.51
M5722,Audio,Event,0.44
M5723,Audio,Event,0.05
M5724,Image,Network,0.46
M5725,Video,Customer Service,0.42
M5726,Video,Event,0.63
M5727,Audio,Customer Service,0.07
M5728,Video,Customer Service,0.41
M5729,Image,Network,0.68
M5730,Audio,Event,0.8
M5731,Image,Offer,0.71
M5732,Image,Offer,0.3
M5733,Image,Offer,0.36
M5734,Image,Customer Service,0.56
M5735,Video,Offer,0.65
M5736,Video,Customer Service,0.07
M5737,Video,Network,0.36
M5738,Video,Offer,0.53
M5739,Video,Event,0.92
M5740,Video,Offer,0.08
M5741,Image,Customer Service,0.69
M5742,Video,Event,0.7
M5743,Audio,Customer Service,0.98
M5744,Image,Customer Service,0.18
M5745,Image,Event,0.4
M5746,Video,Offer,0.13
M5747,Video,Event,0.87
M5748,Audio,Offer,0.04
M5749,Image,Event,0.39
M5750,Audio,Customer Service,0.51
M5751,Audio,Customer Service,0.41
M5752,Audio,Offer,0.79
M5753,Image,Customer Service,0.9
M5754,Image,Customer Service,0.18
M5755,Image,Offer,0.58
M5756,Image,Event,0.56
M5757,Audio,Event,0.02
M5758,Image,Offer,0.35
M5759,Image,Customer Service,0.43
M5760,Image,Network,0.02
M5761,Video,Event,0.12
M5762,Video,Offer,0.2
M5763,Video,Offer,0.32
M5764,Video,Event,0.17
M5765,Video,Event,0.58
M5766,Audio,Event,0.7
M5767,Audio,Offer,0.34
M5768,Image,Network,0.97
M5769,Video,Offer,0.35
M5770,Video,Event,0.91
M5771,Image,Event,0.58
M5772,Audio,Network,0.47
M5773,Video,Customer Service,0.81
M5774,Video,Event,0.54
M5775,Audio,Network,0.55
M5776,Image,Event,0.28
M5777,Video,Offer,0.15
M5778,Audio,Customer Service,0.68
M5779,Image,Offer,0.63
M5780,Image,Event,0.1
M5781,Image,Customer Service,0.19
M5782,Video,Customer Service,0.71
M5783,Image,Customer Service,0.87
M5784,Video,Offer,0.36
M5785,Image,Customer Service,0.84
M5786,Video,Customer Service,0.64
M5787,Image,Network,0.37
M5788,Image,Event,0.75
M5789,Video,Offer,0.05
M5790,Video,Customer Service,0.14
M5791,Image,Offer,0.07
M5792,Image,Network,0.37
M5793,Image,Event,0.53
M5794,Audio,Network,0.94
M5795,Audio,Customer Service,0.06
M5796,Image,Event,0.23
M5797,Video,Network,0.77
M5798,Video,Event,0.3
M5799,Video,Customer Service,0.04
M5800,Image,Network,0.19
M5801,Image,Offer,0.38
M5802,Video,Customer Service,0.47
M5803,Audio,Customer Service,0.31
M5804,Video,Network,0.24
M5805,Audio,Customer Service,0.6
M5806,Image,Network,0.29
M5807,Image,Network,0.76
M5808,Audio,Network,0.4
M5809,Video,Network,0.84
M5810,Audio,Network,0.5
M5811,Audio,Network,0.58
M5812,Audio,Event,0.46
M5813,Image,Offer,0.59
M5814,Image,Event,0.56
M5815,Video,Event,0.07
M5816,Video,Event,0.81
M5817,Audio,Event,0.05
M5818,Video,Event,0.79
M5819,Audio,Event,0.17
M5820,Image,Offer,0.12
M5821,Video,Network,0.29
M5822,Image,Network,0.49
M5823,Audio,Event,0.24
M5824,Audio,Offer,0.9
M5825,Video,Offer,0.73
M5826,Video,Customer Service,0.24
M5827,Video,Network,0.4
M5828,Audio,Customer Service,0.88
M5829,Audio,Customer Service,0.74
M5830,Audio,Offer,0.99
M5831,Image,Customer Service,0.48
M5832,Video,Event,0.03
M5833,Video,Offer,0.27
M5834,Image,Event,0.01
M5835,Image,Event,0.21
M5836,Video,Customer Service,0.2
M5837,Image,Offer,0.28
M5838,Audio,Offer,0.56
M5839,Video,Customer Service,0.03
M5840,Video,Offer,0.25
M5841,Image,Offer,0.47
M5842,Image,Offer,0.93
M5843,Image,Offer,0.44
M5844,Video,Offer,0.52
M5845,Audio,Customer Service,0.18
M5846,Video,Customer Service,0.94
M5847,Video,Offer,0.53
M5848,Video,Customer Service,0.47
M5849,Image,Network,0.75
M5850,Video,Offer,0.44
M5851,Audio,Offer,0.74
M5852,Video,Event,0.9
M5853,Video,Network,0.01
M5854,Image,Event,0.11
M5855,Video,Offer,0.73
M5856,Video,Customer Service,0.67
M5857,Video,Network,0.55
M5858,Image,Network,0.93
M5859,Audio,Customer Service,0.78
M5860,Video,Offer,0.52
M5861,Audio,Offer,0.22
M5862,Audio,Offer,0.61
M5863,Video,Event,0.45
M5864,Audio,Offer,0.32
M5865,Video,Event,0.43
M5866,Audio,Network,0.79
M5867,Image,Customer Service,0.64
M5868,Image,Network,0.32
M5869,Video,Offer,0.83
M5870,Audio,Event,0.46
M5871,Video,Event,0.18
M5872,Audio,Event,0.0
M5873,Image,Customer Service,0.14
M5874,Audio,Network,0.71
M5875,Image,Event,0.81
M5876,Video,Network,0.35
M5877,Audio,Event,0.63
M5878,Image,Offer,0.35
M5879,Audio,Offer,0.07
M5880,Video,Customer Service,0.05
M5881,Image,Event,0.59
M5882,Audio,Event,0.09
M5883,Video,Network,0.3
M5884,Image,Customer Service,0.43
M5885,Video,Offer,0.02
M5886,Image,Customer Service,0.7
M5887,Video,Event,0.1
M5888,Audio,Customer Service,0.74
M5889,Video,Network,0.51
M5890,Video,Offer,0.02
M5891,Video,Network,0.35
M5892,Audio,Customer Service,0.91
M5893,Video,Network,0.75
M5894,Image,Event,0.85
M5895,Video,Customer Service,0.84
M5896,Video,Offer,0.99
M5897,Audio,Event,0.25
M5898,Audio,Network,0.31
M5899,Video,Event,0.3
M5900,Video,Customer Service,0.49
M5901,Audio,Event,0.15
M5902,Video,Offer,0.79
M5903,Image,Customer Service,0.62
M5904,Video,Event,0.63
M5905,Audio,Event,0.6
M5906,Video,Event,0.47
M5907,Audio,Customer Service,0.96
M5908,Audio,Event,0.28
M5909,Video,Event,0.79
M5910,Video,Offer,0.99
M5911,Video,Event,0.58
M5912,Image,Offer,0.77
M5913,Video,Network,0.41
M5914,Audio,Offer,0.87
M5915,Image,Customer Service,0.39
M5916,Video,Network,0.69
M5917,Image,Offer,0.87
M5918,Audio,Customer Service,0.45
M5919,Image,Event,0.09
M5920,Image,Offer,0.94
M5921,Audio,Offer,0.25
M5922,Audio,Customer Service,0.77
M5923,Video,Customer Service,0.41
M5924,Video,Network,0.58
M5925,Video,Network,0.93
M5926,Image,Network,0.87
M5927,Video,Network,0.97
M5928,Audio,Network,0.19
M5929,Video,Event,0.03
M5930,Image,Event,0.06
M5931,Image,Customer Service,0.71
M5932,Video,Offer,0.04
M5933,Video,Offer,0.1
M5934,Audio,Event,0.19
M5935,Audio,Network,0.79
M5936,Image,Offer,0.95
M5937,Audio,Network,0.14
M5938,Image,Event,0.53
M5939,Audio,Network,0.3
M5940,Audio,Offer,0.12
M5941,Image,Event,0.86
M5942,Image,Network,0.31
M5943,Video,Event,0.1
M5944,Video,Offer,0.47
M5945,Audio,Network,0.81
M5946,Audio,Offer,0.1
M5947,Audio,Customer Service,0.43
M5948,Audio,Offer,0.76
M5949,Image,Offer,0.88
M5950,Audio,Customer Service,0.16
M5951,Image,Offer,0.84
M5952,Audio,Network,0.89
M5953,Image,Network,0.34
M5954,Video,Customer Service,0.48
M5955,Image,Event,0.82
M5956,Video,Offer,0.98
M5957,Image,Network,0.21
M5958,Image,Network,0.94
M5959,Audio,Offer,0.72
M5960,Audio,Customer Service,0.47
M5961,Audio,Offer,0.36
M5962,Audio,Offer,0.96
M5963,Audio,Event,0.98
M5964,Image,Event,0.74
M5965,Image,Network,0.54
M5966,Video,Customer Service,0.51
M5967,Video,Offer,0.95
M5968,Video,Event,0.46
M5969,Audio,Event,0.8
M5970,Video,Offer,0.88
M5971,Image,Customer Service,0.82
M5972,Video,Customer Service,0.14
M5973,Video,Event,0.58
M5974,Video,Customer Service,0.4
M5975,Image,Network,0.41
M5976,Audio,Offer,0.11
M5977,Audio,Network,0.04
M5978,Audio,Offer,0.29
M5979,Audio,Network,0.32
M5980,Image,Event,0.72
M5981,Audio,Offer,0.44
M5982,Image,Event,0.07
M5983,Audio,Network,0.23
M5984,Image,Offer,0.43
M5985,Audio,Customer Service,0.0
M5986,Image,Customer Service,0.34
M5987,Audio,Event,0.36
M5988,Audio,Event,0.31
M5989,Image,Event,0.45
M5990,Audio,Network,0.18
M5991,Video,Event,0.18
M5992,Video,Network,0.97
M5993,Audio,Network,0.64
M5994,Image,Customer Service,0.08
M5995,Image,Customer Service,0.77
M5996,Video,Offer,0.28
M5997,Audio,Offer,0.34
M5998,Audio,Network,0.45
M5999,Image,Customer Service,0.19
M6000,Image,Customer Service,0.95
M6001,Image,Network,0.52
M6002,Audio,Network,0.61
M6003,Video,Offer,0.87
M6004,Image,Customer Service,0.95
M6005,Audio,Offer,0.36
M6006,Audio,Customer Service,0.22
M6007,Audio,Customer Service,0.1
M6008,Image,Event,0.88
M6009,Image,Network,0.29
M6010,Audio,Customer Service,0.94
M6011,Image,Event,0.86
M6012,Video,Offer,0.52
M6013,Image,Customer Service,0.45
M6014,Video,Customer Service,0.0
M6015,Video,Network,0.52
M6016,Audio,Network,0.51
M6017,Image,Customer Service,0.58
M6018,Video,Offer,0.07
M6019,Video,Customer Service,0.37
M6020,Video,Customer Service,0.46
M6021,Audio,Event,0.16
M6022,Audio,Offer,0.58
M6023,Image,Event,0.16
M6024,Audio,Network,0.5
M6025,Audio,Event,0.46
M6026,Image,Network,0.18
M6027,Video,Offer,0.16
M6028,Audio,Network,0.9
M6029,Audio,Event,0.22
M6030,Image,Event,0.32
M6031,Audio,Network,0.13
M6032,Audio,Event,0.36
M6033,Image,Network,0.77
M6034,Image,Customer Service,0.51
M6035,Image,Offer,0.8
M6036,Video,Offer,0.56
M6037,Video,Offer,0.66
M6038,Video,Offer,0.04
M6039,Audio,Offer,0.78
M6040,Image,Offer,0.86
M6041,Image,Offer,0.3
M6042,Video,Offer,0.9
M6043,Image,Event,0.14
M6044,Image,Customer Service,0.86
M6045,Video,Customer Service,0.54
M6046,Video,Customer Service,0.73
M6047,Audio,Offer,0.87
M6048,Audio,Offer,0.35
M6049,Audio,Event,0.37
M6050,Audio,Customer Service,0.65
M6051,Image,Offer,0.66
M6052,Image,Offer,0.8
M6053,Video,Event,0.3
M6054,Image,Event,0.11
M6055,Audio,Customer Service,0.27
M6056,Video,Offer,0.73
M6057,Audio,Event,0.07
M6058,Audio,Customer Service,0.96
M6059,Audio,Offer,0.39
M6060,Video,Network,0.21
M6061,Video,Customer Service,0.23
M6062,Audio,Customer Service,0.67
M6063,Image,Network,0.25
M6064,Image,Customer Service,0.75
M6065,Video,Network,0.59
M6066,Image,Customer Service,0.43
M6067,Video,Offer,0.42
M6068,Image,Customer Service,0.95
M6069,Video,Event,0.36
M6070,Audio,Network,0.68
M6071,Audio,Customer Service,0.22
M6072,Video,Customer Service,0.54
M6073,Video,Event,0.25
M6074,Image,Network,0.14
M6075,Image,Customer Service,0.13
M6076,Video,Network,0.76
M6077,Audio,Event,0.28
M6078,Audio,Offer,0.96
M6079,Audio,Network,0.21
M6080,Video,Offer,0.33
M6081,Image,Network,0.34
M6082,Audio,Customer Service,0.56
M6083,Video,Customer Service,0.57
M6084,Image,Network,0.7
M6085,Video,Event,0.03
M6086,Image,Offer,0.08
M6087,Image,Event,0.26
M6088,Image,Customer Service,0.58
M6089,Audio,Event,0.23
M6090,Audio,Network,0.61
M6091,Audio,Event,0.83
M6092,Video,Offer,0.98
M6093,Audio,Event,0.78
M6094,Image,Event,0.11
M6095,Audio,Event,0.38
M6096,Image,Event,0.31
M6097,Video,Network,0.01
M6098,Audio,Customer Service,0.72
M6099,Image,Network,0.17
M6100,Image,Customer Service,0.29
M6101,Video,Network,0.9
M6102,Video,Customer Service,0.21
M6103,Audio,Event,0.89
M6104,Video,Customer Service,0.91
M6105,Video,Offer,0.81
M6106,Image,Customer Service,0.3
M6107,Video,Network,0.1
M6108,Audio,Customer Service,0.36
M6109,Video,Event,0.13
M6110,Video,Offer,0.81
M6111,Audio,Offer,0.55
M6112,Image,Network,0.81
M6113,Audio,Offer,0.2
M6114,Audio,Network,0.42
M6115,Image,Network,0.35
M6116,Image,Network,0.2
M6117,Video,Customer Service,0.98
M6118,Image,Event,0.35
M6119,Audio,Network,0.8
M6120,Video,Customer Service,0.56
M6121,Audio,Customer Service,0.51
M6122,Audio,Offer,0.3
M6123,Video,Customer Service,0.06
M6124,Video,Network,0.9
M6125,Image,Customer Service,0.77
M6126,Audio,Event,0.69
M6127,Audio,Offer,0.94
M6128,Audio,Network,0.17
M6129,Video,Offer,0.62
M6130,Image,Network,0.63
M6131,Audio,Offer,0.87
M6132,Audio,Customer Service,0.38
M6133,Audio,Event,0.8
M6134,Image,Offer,0.52
M6135,Video,Event,0.45
M6136,Image,Customer Service,0.72
M6137,Video,Network,0.32
M6138,Image,Network,0.91
M6139,Image,Event,0.38
M6140,Audio,Customer Service,0.75
M6141,Image,Network,0.28
M6142,Image,Network,0.93
M6143,Audio,Offer,0.11
M6144,Video,Customer Service,0.41
M6145,Video,Customer Service,0.47
M6146,Audio,Offer,0.25
M6147,Video,Offer,0.15
M6148,Audio,Network,0.58
M6149,Video,Customer Service,0.75
M6150,Video,Event,0.64
M6151,Audio,Offer,0.0
M6152,Image,Offer,0.22
M6153,Audio,Network,0.57
M6154,Audio,Event,0.97
M6155,Audio,Offer,0.53
M6156,Image,Customer Service,0.26
M6157,Video,Event,0.18
M6158,Image,Event,0.21
M6159,Image,Customer Service,0.64
M6160,Image,Customer Service,0.91
M6161,Image,Customer Service,0.7
M6162,Audio,Network,0.19
M6163,Audio,Offer,0.6
M6164,Video,Event,0.99
M6165,Image,Network,0.61
M6166,Image,Network,0.73
M6167,Video,Offer,0.55
M6168,Image,Event,0.97
M6169,Audio,Network,0.53
M6170,Audio,Network,0.37
M6171,Audio,Network,0.61
M6172,Audio,Event,0.11
M6173,Video,Customer Service,0.3
M6174,Audio,Customer Service,0.5
M6175,Video,Event,0.18
M6176,Video,Event,0.02
M6177,Video,Customer Service,0.94
M6178,Video,Offer,0.06
M6179,Audio,Customer Service,0.25
M6180,Video,Event,0.17
M6181,Image,Offer,0.92
M6182,Video,Network,0.99
M6183,Image,Customer Service,0.56
M6184,Video,Event,0.97
M6185,Video,Event,0.25
M6186,Video,Offer,0.17
M6187,Image,Network,0.86
M6188,Video,Customer Service,0.1
M6189,Video,Offer,0.67
M6190,Video,Event,0.74
M6191,Audio,Event,0.56
M6192,Image,Customer Service,0.83
M6193,Image,Customer Service,0.27
M6194,Audio,Network,0.21
M6195,Image,Customer Service,0.25
M6196,Audio,Offer,0.11
M6197,Video,Network,0.16
M6198,Audio,Network,0.1
M6199,Audio,Customer Service,0.3
M6200,Audio,Network,0.42
M6201,Video,Event,0.57
M6202,Image,Offer,0.47
M6203,Video,Network,0.89
M6204,Image,Offer,0.91
M6205,Video,Network,0.75
M6206,Audio,Network,0.02
M6207,Video,Network,0.86
M6208,Image,Offer,0.7
M6209,Audio,Event,0.34
M6210,Image,Customer Service,0.87
M6211,Image,Offer,0.89
M6212,Image,Event,0.81
M6213,Video,Event,0.17
M6214,Video,Offer,0.4
M6215,Audio,Customer Service,0.2
M6216,Video,Customer Service,0.75
M6217,Image,Event,0.2
M6218,Image,Customer Service,0.19
M6219,Audio,Customer Service,0.91
M6220,Video,Customer Service,0.95
M6221,Image,Event,0.92
M6222,Video,Network,0.5
M6223,Video,Network,0.42
M6224,Video,Offer,0.44
M6225,Audio,Customer Service,0.0
M6226,Audio,Event,0.41
M6227,Image,Customer Service,0.33
M6228,Video,Event,0.78
M6229,Video,Offer,0.86
M6230,Image,Customer Service,0.34
M6231,Image,Customer Service,0.44
M6232,Video,Network,0.54
M6233,Image,Event,0.35
M6234,Video,Customer Service,0.76
M6235,Video,Event,0.6
M6236,Audio,Customer Service,0.28
M6237,Video,Customer Service,0.83
M6238,Video,Event,0.89
M6239,Image,Network,0.45
M6240,Audio,Network,0.56
M6241,Audio,Network,0.41
M6242,Audio,Event,0.55
M6243,Image,Customer Service,0.17
M6244,Video,Customer Service,0.55
M6245,Image,Offer,0.56
M6246,Image,Network,0.62
M6247,Image,Customer Service,0.27
M6248,Video,Customer Service,0.78
M6249,Video,Offer,0.27
M6250,Audio,Offer,0.18
M6251,Image,Event,0.75
M6252,Image,Network,0.46
M6253,Video,Customer Service,0.39
M6254,Image,Network,0.37
M6255,Video,Event,0.28
M6256,Audio,Event,0.21
M6257,Image,Offer,0.26
M6258,Audio,Network,0.11
M6259,Video,Customer Service,0.16
M6260,Video,Customer Service,0.37
M6261,Image,Event,0.48
M6262,Audio,Offer,0.66
M6263,Audio,Customer Service,0.88
M6264,Video,Offer,0.5
M6265,Image,Offer,0.66
M6266,Video,Offer,0.98
M6267,Image,Event,0.69
M6268,Image,Customer Service,0.64
M6269,Audio,Offer,0.96
M6270,Image,Event,0.8
M6271,Video,Offer,0.64
M6272,Video,Network,0.93
M6273,Video,Offer,0.56
M6274,Image,Event,0.57
M6275,Video,Offer,0.12
M6276,Image,Event,0.81
M6277,Image,Event,0.86
M6278,Video,Offer,0.32
M6279,Audio,Event,0.55
M6280,Image,Network,0.22
M6281,Image,Customer Service,0.57
M6282,Audio,Offer,0.29
M6283,Image,Offer,0.68
M6284,Audio,Event,0.67
M6285,Audio,Event,0.83
M6286,Audio,Event,0.89
M6287,Audio,Event,0.44
M6288,Audio,Network,0.27
M6289,Audio,Offer,0.77
M6290,Video,Offer,0.64
M6291,Image,Customer Service,0.2
M6292,Audio,Network,0.2
M6293,Image,Event,0.61
M6294,Image,Offer,0.36
M6295,Video,Customer Service,0.08
M6296,Image,Offer,0.86
M6297,Audio,Network,0.97
M6298,Audio,Offer,0.76
M6299,Image,Event,0.98
M6300,Image,Customer Service,0.56
M6301,Audio,Offer,0.28
M6302,Image,Event,0.38
M6303,Image,Network,0.4
M6304,Image,Event,0.73
M6305,Image,Offer,0.4
M6306,Video,Offer,0.47
M6307,Video,Customer Service,0.78
M6308,Image,Customer Service,0.93
M6309,Image,Offer,0.12
M6310,Audio,Offer,0.46
M6311,Image,Offer,0.05
M6312,Image,Offer,0.94
M6313,Audio,Customer Service,0.43
